Q_ID,Year,Subject,Sub_Topic,Question,Opt_A,Opt_B,Opt_C,Opt_D,Correct_Answer,Correct_Option_Text,Explanation,Difficulty,Question_Type,Repeats_In,Zone
BPSC_64_001,2018,Modern History,1857 का विद्रोह,Which of the following was not a reason for making the sepoys of the East India Company rebellious?,The efforts of the officers of the Company to spread Christianity,The order to the sepoys to travel on ships,The stoppage of Bhatta,The inefficiency of the officers,D,The inefficiency of the officers,,Medium,MCQ,"2018,2019,2020,2022",
BPSC_64_002,2018,Modern History,1857 का विद्रोह,"About Mughal Emperor Bahadur Shah Zafar, it was said that his empire extended from",Chandni Chowk to Palam,Delhi to Bihar,Peshawar to Bihar,Peshawar to Varanasi,A,Chandni Chowk to Palam,,Medium,MCQ,"2018,2019,2020,2022",
BPSC_64_003,2018,Modern History,ब्रिटिश प्रशासन,Who among the following did not rebel against the British East India Company’s control over them?,Raja of Vizianagaram,Nizam of Hyderabad,Polygar of Tamil Nadu,Dewan Velu Thampi of Travancore,B,Nizam of Hyderabad,,Medium,MCQ,"2018,2019,2020,2022,2023",
BPSC_64_004,2018,Science,भौतिकी,The Indigo Rebellion was about,the peasant not wanting to grow indigo but being forced to,the peasant wanting to grow indigo but being forced not to,the peasant not wanting to stow indigo but being forced to grow at a price that was unacceptable,a protest movement that ccarried an indigo-coloured flag,C,the peasant not wanting to stow indigo but being forced to grow at a price that was unacceptable,,Medium,MCQ,"2018,2019,2020,2022,2023",
BPSC_64_005,2018,Economy,बजट और राजकोषीय नीति,The immediate cause of Deccan Riots of 1875,the shadow of a famine,high interest rates charged by Mahajans,high land revenue rates,protest against imposition of religious reforms,A,the shadow of a famine,,Medium,MCQ,"2018,2019,2022,2023",
BPSC_64_006,2018,Modern History,भारतीय राष्ट्रीय कांग्रेस,"Rajani Palme Dutt said, “They both fought and collaborated with imperialism.” Which political grouping was he referring to?",The Indian National Congress,The Communist Party of India,The Swaraj Party,Hindustan Socialist Republican Association,A,The Indian National Congress,,Medium,MCQ,"2018,2019,2020,2022,2023",
BPSC_64_007,2018,General Studies,प्रेस और साहित्य,Which of the following was not a ‘Nationalist’ newspaper?,The Hindu,Bengalee,The Mahratta,The Times of India,D,The Times of India,,Medium,MCQ,"2018,2019,2022,2023",
BPSC_64_008,2018,Modern History,गांधीवादी आंदोलन,"Identify the correct combination from the options given below for Prarthana Samaj, Young India, Lokhitvadi, Satyashodhak Samaj, Rehnumai Mazdayasan Sabha.","Gopal Hari Deshmukh,Atmaram Pandurang, Mohandas Karamchand Gandhi, Jyotiba Phule, Naoroji Furdonji","Atmaram Pandurang, Mohandas Karamchand Gandhi, Gopal Hari Deshmukh, Jyotiba Phule, Naoroji Furdonji","Atmaram Pandurang,Jyotiba Phule, Mohandas Karamchand Gandhi, Gopal Hari Deshmukh, Naoroji Furdonji","Naoroji Furdonji, Atmaram Pandurang, Mohandas Karamchand Gandhi, Gopal Hari Deshmukh, Jyotiba Phule",B,"Atmaram Pandurang, Mohandas Karamchand Gandhi, Gopal Hari Deshmukh, Jyotiba Phule, Naoroji Furdonji",,Medium,MCQ,"2018,2019,2020,2022,2023",
BPSC_64_009,2018,Modern History,भारतीय राष्ट्रीय कांग्रेस,"From the options given below, find the correct combination of the names of Editors of the nationalist newspapers The Hindu, Kesari, Bengalee, Hindustani, Sudharak :","Surendra Nath Banerjea, G. Subramania Iyer, Bal Gangadhar Tilak, Ganga Prasad Varma, Gopal Krishna Gokhale","Bal Gangadhar Tilak, G. Subramania Iyer, Surendra Nath Banerjea, Ganga Prasad Varma, Gopal Krishna Gokhale","G. Subramania Iyer, Bal Gangadhar Tilak, Ganga Prasad Varma, Gopal Krishna Gokhale, Surendra Nath Banerjea","G. Subramania Iyer, Bal Gangadhar Tilak, Surendra Nath Banerjea, Ganga Prasad Varma, Gopal Krishna Gokhale",D,"G. Subramania Iyer, Bal Gangadhar Tilak, Surendra Nath Banerjea, Ganga Prasad Varma, Gopal Krishna Gokhale",,Medium,MCQ,"2018,2019,2020,2022,2023",
BPSC_64_010,2018,Modern History,भारतीय राष्ट्रीय कांग्रेस,Bal Gangadhar Tilak came to be known as ‘Lokmanya Tilak’ when,he became a popular teacher,he started a popular newspaper,the government accused him in the Rand Murder Case,he started the Shivaji and Ganpati festivals,C,the government accused him in the Rand Murder Case,,Medium,MCQ,"2018,2019,2020,2022,2023",
BPSC_64_011,2018,Modern History,क्रांतिकारी आंदोलन,How old was Bhagat Singh when he threw a bomb in the assembly in protest against the government?,21 years,A little more than 21 years,25 years,A little more than 25 years,B,A little more than 21 years,,Medium,MCQ,"2018,2019,2020,2022,2023",
BPSC_64_012,2018,Modern History,गांधीवादी आंदोलन,The Jallianwala Bagh Massacre happened in the context of which Gandhian Satyagraha?,Swadeshi Satyagraha,Rowlatt Satyagraha,Bardoli Satyagraha,Individual Satyagraha,B,Rowlatt Satyagraha,,Medium,MCQ,"2018,2019,2020,2022,2023",
BPSC_64_013,2018,Modern History,1857 का विद्रोह,Where did Kunwar Singh join the Rebellion of 1857 against the British?,Arrah,Patna,Bettiah,Varanasi,A,Arrah,,Medium,MCQ,"2018,2019,2020,2022",
BPSC_64_014,2018,Modern History,ब्रिटिश प्रशासन,In which territory did tribals rebel against the British?,Bihar,Punjab,Sindh,Kathiawar,A,Bihar,,Medium,MCQ,"2018,2019,2020,2022,2023",
BPSC_64_016,2018,Modern History,गांधीवादी आंदोलन,Which of the following was the first Satyagraha of Mahatma Gandhi in India?,Ahmedabad,Bardoli,Champaran,Individual,C,Champaran,,Medium,MCQ,"2018,2019,2020,2022,2023",
BPSC_64_017,2018,Modern History,गांधीवादी आंदोलन,Gandhiji’s Non-Cooperation Movement urged people to avoid alcohol. This resulted in a serious loss of revenue for the government. The government of a province circulated a list of prominent individuals who drank alcohol as a device to persuade people to start drinking again. Name the province.,Andhra Pradesh,Bihar,Bombay,Gujarat,B,Bihar,,Medium,MCQ,"2018,2019,2020,2022,2023",
