Q_ID,Year,Subject,Sub_Topic,Question,Opt_A,Opt_B,Opt_C,Opt_D,Correct_Answer,Correct_Option_Text,Explanation,Difficulty,Question_Type,Repeats_In,Zone
BPSC_64_001,2018,Modern History,,ईस्ट इंडिया कंपनी के सिपाहियों को विद्रोही बनाने का निम्नलिखित में से कौन सा कारण नहीं था?,कंपनी के अधिकारियों द्वारा ईसाई धर्म के प्रचार-प्रसार का प्रयास,सिपाहियों को जहाज़ों पर यात्रा करने का आदेश,भट्टा का बंद होना,अधिकारियों की अक्षमता,D,अधिकारियों की अक्षमता,,Medium,MCQ,,
BPSC_64_002,2018,Modern History,,मुगल बादशाह बहादुर शाह जफर के बारे में कहा जाता था कि उनका साम्राज्य कहां तक ​​फैला था,चांदनी चौक से पालम,दिल्ली से बिहार,पेशावर से बिहार,पेशावर से वाराणसी,A,चांदनी चौक से पालम,,Medium,MCQ,,
BPSC_64_003,2018,Modern History,,निम्नलिखित में से किसने ब्रिटिश ईस्ट इंडिया कंपनी के नियंत्रण के विरुद्ध विद्रोह नहीं किया?,विजयनगरम के राजा,हैदराबाद के निज़ाम,तमिलनाडु का पॉलीगर,त्रावणकोर के दीवान वेलु थम्पी,B,हैदराबाद के निज़ाम,,Medium,MCQ,,
BPSC_64_004,2018,Science,,नील विद्रोह के बारे में था,किसान नील की खेती नहीं करना चाहते थे लेकिन उन्हें ऐसा करने के लिए मजबूर किया जा रहा है,किसान नील की खेती करना चाहता था लेकिन उसे ऐसा न करने के लिए मजबूर किया जा रहा था,किसान नील का भंडारण नहीं करना चाहते थे लेकिन उन्हें ऐसी कीमत पर नील उगाने के लिए मजबूर किया जा रहा था जो अस्वीकार्य थी,एक विरोध आंदोलन जिसमें नील रंग का झंडा था,C,किसान नील का भंडारण नहीं करना चाहते थे लेकिन उन्हें ऐसी कीमत पर नील उगाने के लिए मजबूर किया जा रहा था जो अस्वीकार्य थी,,Medium,MCQ,,
BPSC_64_005,2018,Economy,,1875 के दक्कन दंगों का तात्कालिक कारण,अकाल की छाया,महाजनों द्वारा वसूल की जाने वाली उच्च ब्याज दरें,उच्च भूमि राजस्व दरें,धार्मिक सुधार थोपे जाने का विरोध,A,अकाल की छाया,,Medium,MCQ,,
BPSC_64_006,2018,Modern History,,"रजनी पाल्मे दत्त ने कहा, ""वे दोनों साम्राज्यवाद से लड़े और सहयोग किया।"" वह किस राजनीतिक समूह का जिक्र कर रहे थे?",भारतीय राष्ट्रीय कांग्रेस,भारतीय कम्युनिस्ट पार्टी,स्वराज पार्टी,हिंदुस्तान सोशलिस्ट रिपब्लिकन एसोसिएशन,A,भारतीय राष्ट्रीय कांग्रेस,,Medium,MCQ,,
BPSC_64_007,2018,General Studies,,निम्नलिखित में से कौन सा 'राष्ट्रवादी' समाचार पत्र नहीं था?,द हिंदू,बंगाली,महरत्ता,द टाइम्स ऑफ़ इण्डिया.,D,द टाइम्स ऑफ़ इण्डिया.,,Medium,MCQ,,
BPSC_64_008,2018,Modern History,,"प्रार्थना समाज, यंग इंडिया, लोकहितवादी, सत्यशोधक समाज, रहनुमाई मजदायसन सभा के लिए नीचे दिए गए विकल्पों में से सही संयोजन की पहचान करें।","गोपाल हरि देशमुख, आत्माराम पांडुरंग, मोहनदास करमचंद गांधी, ज्योतिबा फुले, नौरोजी फुरदोनजी","आत्माराम पांडुरंग, मोहनदास करमचंद गांधी, गोपाल हरि देशमुख, ज्योतिबा फुले, नौरोजी फुरदोनजी","आत्माराम पांडुरंग, ज्योतिबा फुले, मोहनदास करमचंद गांधी, गोपाल हरि देशमुख, नौरोजी फुरदोनजी","नौरोजी फुरदोनजी, आत्माराम पांडुरंग, मोहनदास करमचंद गांधी, गोपाल हरि देशमुख, ज्योतिबा फुले",B,"आत्माराम पांडुरंग, मोहनदास करमचंद गांधी, गोपाल हरि देशमुख, ज्योतिबा फुले, नौरोजी फुरदोनजी",,Medium,MCQ,,
BPSC_64_009,2018,Modern History,,"नीचे दिए गए विकल्पों में से, राष्ट्रवादी समाचार पत्रों द हिंदू, केसरी, बंगाली, हिंदुस्तानी, सुधारक के संपादकों के नामों का सही संयोजन खोजें:","सुरेंद्र नाथ बनर्जी, जी. सुब्रमण्यम अय्यर, बाल गंगाधर तिलक, गंगा प्रसाद वर्मा, गोपाल कृष्ण गोखले","बाल गंगाधर तिलक, जी. सुब्रमण्यम अय्यर, सुरेंद्र नाथ बनर्जी, गंगा प्रसाद वर्मा, गोपाल कृष्ण गोखले","जी सुब्रमण्यम अय्यर, बाल गंगाधर तिलक, गंगा प्रसाद वर्मा, गोपाल कृष्ण गोखले, सुरेंद्र नाथ बनर्जी","जी. सुब्रमण्यम अय्यर, बाल गंगाधर तिलक, सुरेंद्र नाथ बनर्जी, गंगा प्रसाद वर्मा, गोपाल कृष्ण गोखले",D,"जी. सुब्रमण्यम अय्यर, बाल गंगाधर तिलक, सुरेंद्र नाथ बनर्जी, गंगा प्रसाद वर्मा, गोपाल कृष्ण गोखले",,Medium,MCQ,,
BPSC_64_010,2018,Modern History,,बाल गंगाधर तिलक को 'लोकमान्य तिलक' के नाम से कब जाना जाने लगा,वह एक लोकप्रिय शिक्षक बन गये,उन्होंने एक लोकप्रिय समाचार पत्र शुरू किया,सरकार ने उन पर रैंड मर्डर केस में आरोप लगाया,उन्होंने शिवाजी और गणपति उत्सवों की शुरुआत की,C,सरकार ने उन पर रैंड मर्डर केस में आरोप लगाया,,Medium,MCQ,,
